,name,ranking_position,text
0,vaugouin,"36,972","Member since: 2022, average edits per day: 63.83"
1,Shei,"21,699","Member since: 2016, average edits per day: 408.9"
2,Samara,"13,555","Member since: 2014, average edits per day: 960.93"
3,xuan444,"6,764","Member since: 2022, average edits per day: 138.71"
4,仙缘一梦,"5,242","Member since: 2024, average edits per day: 107.88"
5,Yuan,"4,934","Member since: 2023, average edits per day: 15.05"
6,David,"4,244","Member since: 2021, average edits per day: 54.57"
7,gurcha,"4,104","Member since: 2024, average edits per day: 25.46"
8,CXC6000,"3,990","Member since: 2023, average edits per day: 406.01"
9,Banana,"3,879","Member since: 2013, average edits per day: 540.47"
10,raze464,"3,862","Member since: 2020, average edits per day: 540.25"
11,talestalker,"3,717","Member since: 2018, average edits per day: 528.72"
12,tssdl,"3,609","Member since: 2018, average edits per day: 266.27"
13,Ivan Ivanov,"3,564","Member since: 2020, average edits per day: 28.91"
14,Segramer,"3,394","Member since: 2023, average edits per day: 486.76"
15,SAFD,"3,336","Member since: 2023, average edits per day: 804.62"
16,bayramova,"3,324","Member since: 2021, average edits per day: 152.5"
17,Sonply,"3,172","Member since: 2019, average edits per day: 84.5"
18,ucdrlg,"3,114","Member since: 2022, average edits per day: 277.4"
19,capricorn ✨,"3,085","Member since: 2023, average edits per day: 384.8"
20,chkchkboom,"3,046","Member since: 2024, average edits per day: 762.75"
21,itinerant,"2,971","Member since: 2020, average edits per day: 6.0"
22,Kampfkeks,"2,911","Member since: 2020, average edits per day: 173.37"
23,Kat,"2,903","Member since: 2021, average edits per day: 133.81"
24,pLaCeB0,"2,689","Member since: 2022, average edits per day: 263.31"
25,ego.star69,"2,673","Member since: 2024, average edits per day: 363.38"
26,LarsDK,"2,479","Member since: 2022, average edits per day: 79.29"
27,Davidal,"2,402","Member since: 2019, average edits per day: 130.29"
28,coram13,"2,356","Member since: 2024, average edits per day: 60.65"
29,13791452756,"2,275","Member since: 2024, average edits per day: 1137.5"
30,Oriclamater,"2,223","Member since: 2023, average edits per day: 23.57"
31,Maliha Hossain,"2,081","Member since: 2022, average edits per day: 104.91"
32,Rocojo04,"2,072","Member since: 2024, average edits per day: 30.35"
33,Kuzhagan,"2,035","Member since: 2024, average edits per day: 508.75"
34,yathou,"2,021","Member since: 2024, average edits per day: 249.37"
35,HeelerCattle86,"1,995","Member since: 2024, average edits per day: 308.78"
36,「 Amika 」,"1,806","Member since: 2024, average edits per day: 502.33"
37,ju2lia3,"1,802","Member since: 2024, average edits per day: 370.25"
38,HaeRang,"1,791","Member since: 2010, average edits per day: 12.3"
39,Ritx,"1,765","Member since: 2020, average edits per day: 102.5"
40,simonsmad,"1,659","Member since: 2022, average edits per day: 247.85"
41,Simon Konrad,"1,566","Member since: 2023, average edits per day: 10.99"
42,trysttalks,"1,508","Member since: 2022, average edits per day: 40.64"
43,night.owl,"1,490","Member since: 2022, average edits per day: 301.43"
44,hidehira18,"1,478","Member since: 2022, average edits per day: 29.79"
45,Gargots,"1,460","Member since: 2022, average edits per day: 25.9"
46,renklizenci,"1,447","Member since: 2021, average edits per day: 101.52"
47,ParkMin,"1,429","Member since: 2023, average edits per day: 26.83"
48,jmphillips92,"1,421","Member since: 2023, average edits per day: 228.68"
49,softpillow,"1,367","Member since: 2021, average edits per day: 8.85"
50,pingu51,"1,365","Member since: 2020, average edits per day: 362.5"
51,Avshalom Kor,"1,348","Member since: 2014, average edits per day: 77.87"
52,bewarebatmite,"1,316","Member since: 2021, average edits per day: 41.54"
53,CuneoNote,"1,303","Member since: 2024, average edits per day: 145.5"
54,tonic1,"1,290","Member since: 2020, average edits per day: 34.6"
